,Name,Price (in Euros),Details
104,"Currypaste, rot, Lobo/Cock, 400g","3,99","Inhalt 400 Gramm (1,00 € * / 100 Gramm)"
105,"Currypaste, gelb, Lobo/Cock, 400g","3,99","Inhalt 400 Gramm (1,00 € * / 100 Gramm)"
106,"Cup Korean Spicy Chicken, Mie Sedaap 81g","1,09","Inhalt 81 Gramm (1,35 € * / 100 Gramm)"
107,"Galanga, Diamond, 200g (Versand nur in Deutschland)","1,99","Inhalt 200 Gramm (9,95 € * / 1000 Gramm)"
108,"Pandanblätter, Golden Turtle, 250g (Versand nur in Deutschland)","1,99","Inhalt 250 Gramm (7,96 € * / 1000 Gramm)"
109,"Kripik Tempe mit Zitronenblättern, Nesia, 100g","2,49","Inhalt 100 Gramm (24,90 € * / 1000 Gramm)"
110,"Sagomehl Sagu Tani Merbabu, 500g","2,89","Inhalt 500 Gramm (0,58 € * / 100 Gramm)"
111,"Chiffon Chocolate, Pondan, 400g","4,39","Inhalt 400 Kilogramm (1,10 € * / 100 Kilogramm)"
112,"Chiffon Vanila, Pondan, 400g","3,99","Inhalt 400 Gramm (0,87 € * / 100 Gramm)"
113,"Sambal Geprek, Nesia, 220g","5,39","Inhalt 220 Gramm (2,45 € * / 100 Gramm)"
114,"Fischkrupuk ""Palembang"", gebraten, Tiga Rasa, 60g","2,59","Inhalt 60 Gramm (4,15 € * / 100 Gramm)"
115,"Chilisauce für Meeresfrüchte, Thai Dancer, 700ml","3,99","Inhalt 800 ml (0,50 € * / 100 ml)"
116,"Tepung Pisang Goreng Rasa Vanilla, Mamasuka, 225g","1,49","Inhalt 225 Gramm (0,66 € * / 100 Gramm)"
117,"Tepung Pisang Goreng Rasa Pandan, Mamasuka, 225g","1,49","Inhalt 225 Gramm (0,66 € * / 100 Gramm)"
118,"Kecap Manis Refill, Cap Bango, 550ml","4,99","Inhalt 550 ml (9,07 € * / 1000 ml)"
119,1 Karton (40 Stück) Indomie Soto / Vegetables Flavour,"18,99","Inhalt 40 Stück (0,47 € * / 1 Stück)"
120,"Tolakangin Flu, 12 x 15ml","5,99","Inhalt 180 ml (3,33 € * / 100 ml)"
121,"Banana Crunch, Dua Kelinci, 100g","2,99",Inhalt 100 Gramm
122,"Deka Wafer Roll Choco, Dua Kelinci, 24 x 9g","2,59","Inhalt 216 Gramm (1,20 € * / 100 Gramm)"
123,"Kripik Singkong ""Seetang"", Kusuka, 180g","2,99","Inhalt 180 Gramm (1,66 € * / 100 Gramm)"
124,"Deka Wafer Roll ChocoNUT, Dua Kelinci, 24 x 9g","2,59","Inhalt 216 Gramm (1,20 € * / 100 Gramm)"
125,"Agar Agar Stange, 2 Stück, Nesia","2,19","Inhalt 2 Stück (1,10 € * / 1 Stück)"
126,"Bon Cabe Ikan Roa, Level 15, 40g","2,99","Inhalt 40 Gramm (7,48 € * / 100 Gramm)"
127,"TicTac Snack Seetanggeschmack, Dua Kelinci, 90g","0,99","Inhalt 90 Gramm (1,10 € * / 100 Gramm)"
128,"Cup Korean Spicy Soup, Mie Sedaap 75g","1,09","Inhalt 81 Gramm (1,35 € * / 100 Gramm)"
129,"Bon Cabe Mie Goreng Level 15, Kobe, 105g","0,99","Inhalt 105 Gramm (0,94 € * / 100 Gramm)"
130,"Sambal Roa, Nesia, 200g","6,29","Inhalt 220 Gramm (2,86 € * / 100 Gramm)"
131,"TicTac Snack, Huhn Zwiebel Geschmack,  Dua Kelinci, 90g","0,99","Inhalt 90 Gramm (1,10 € * / 100 Gramm)"
132,"TicTac Snack, Rind Flavour,  Dua Kelinci, 90g","0,99","Inhalt 90 Gramm (1,10 € * / 100 Gramm)"
133,"TicTac Snack, Mix,  Dua Kelinci, 90g","0,99","Inhalt 90 Gramm (1,10 € * / 100 Gramm)"
134,"Sogokimyun Beef Ramen Flavour, 120g","0,99","Inhalt 120 Gramm (0,83 € * / 100 Gramm)"
135,"Kaffeebonbons ""Cappucino"" Kopiko, 120g","1,49","Inhalt 150 Gramm (0,99 € * / 100 Gramm)"
136,"Kripik Singkong ""Cheese Burger"", Kusuka, 180g","2,99","Inhalt 180 Gramm (1,66 € * / 100 Gramm)"
137,"Tempeh Kripik, Lucullus, 250g","2,39","Inhalt 380 Gramm (6,29 € * / 1000 Gramm)"
138,"Lychees in Syrup, Diamond, 567g","2,89","Inhalt 567 Gramm (4,57 € * / 1000 Gramm)"
139,"TicTac Snack, Original,  Dua Kelinci, 90g","0,99","Inhalt 90 Gramm (1,10 € * / 100 Gramm)"
140,"Sambal Hijau, ABC, 180g","4,29","Inhalt 180 Gramm (2,38 € * / 100 Gramm)"
141,"Durianstangen (Lempok), X.O., 100g","3,09","Inhalt 100 Gramm (29,90 € * / 1000 Gramm)"
142,"Nudelsuppe mit Semur-Geschmack ""Selera Pedas"", ABC, 70g","0,45","Inhalt 72 Gramm (0,63 € * / 100 Gramm)"
143,"Nudelsuppe mit Hähnchenzwiebelgeschmack, ABC, 65g","0,45","Inhalt 65 Gramm (0,69 € * / 100 Gramm)"
144,"Nudelsuppe mit Gulai-Geschmack, ABC, 70g","0,45","Inhalt 65 Gramm (0,69 € * / 100 Gramm)"
145,"Enting-Enting Gepuk, 130g","2,19","Inhalt 130 Gramm (1,68 € * / 100 Gramm)"
146,"Cup Mi Goreng, Mie Sedaap 85g","0,99","Inhalt 81 Gramm (1,22 € * / 100 Gramm)"
147,"Cup Baso Spesial, Mie Sedaap 77g","0,99","Inhalt 81 Gramm (1,22 € * / 100 Gramm)"
148,"Cup Ayam Bawang Telur, Mie Sedaap 77g","0,99","Inhalt 81 Gramm (1,22 € * / 100 Gramm)"
149,"Cup Soto, Mie Sedaap 81g","0,99","Inhalt 81 Gramm (1,22 € * / 100 Gramm)"
150,"Guavennektar, Foco, 350ml","1,79","Inhalt 350 ml (0,51 € * / 100 ml)"
151,"Kemirinuss, 1kg","19,90",Inhalt 1 Kilogramm
152,"Rengginang - Reiskrupuk salzig, Nesia, 200g","2,79","Inhalt 200 Gramm (1,40 € * / 100 Gramm)"
153,"Zitronenblätter, getrocknet, 25g","1,89","Inhalt 25 Gramm (7,56 € * / 100 Gramm)"
154,"Chili, ganz mit Stil, getrocknet, Thai Dancer, 100g","2,89",Inhalt 100 Gramm
155,"Sambal Peteh, Koningsvogel, 360g","4,99","Inhalt 0.36 Kilogramm (13,86 € * / 1 Kilogramm)"
156,"Palembang Pedas Krupuk, Bocah Tua, 200g","4,29","Inhalt 198 Gramm (2,02 € * / 100 Gramm)"
157,"Mie Sedaap Baso Spesial, 77g","0,49","Inhalt 77 Gramm (0,64 € * / 100 Gramm)"
158,"1 Karton (40 Stück) Mie Sedaap Baso Spesial, 77g","19,80","Inhalt 1.95 Kilogramm (8,20 € * / 1 Kilogramm)"
